id,x,y
1,1,1
2,999,1
3,999,51
4,1,51
5,1,101
6,999,101
7,999,151
8,1,151
9,1,201
10,999,201
11,999,251
12,1,251
13,1,301
14,999,301
15,999,351
16,1,351
17,1,401
18,999,401
19,999,451
20,1,451
21,1,501
22,999,501
23,999,551
24,1,551
25,1,601
26,999,601
27,999,651
28,1,651
29,1,701
30,999,701
31,999,751
32,1,751
33,1,801
34,999,801
35,999,851
36,1,851
37,1,901
38,999,901
39,999,951
40,1,951
41,1,1001
42,999,1001
